cu_option,cu_119,cu,voltage_level,cycle,or_abbreviation,asset_ownership,gen,cmt,perg,stn,sdl,crs,min_cu,avg_cu,max_cu,cot_value,cu_without_cot
0,794.3292,794.3292,1,202505,ELECTROMETA,50% OPERADOR,304.3811,88.5039,57.1224,56.7575,246.4204,41.1439,786.8862,794.3042,799.4582,61.07,733.2592
0,778.2766,778.2766,1,202505,ELECTROMETA,100% USUARIO,304.3811,88.5039,57.1224,56.7575,230.3678,41.1439,770.8336,778.2516,783.4056,61.07,717.2066
0,810.3819,810.3819,1,202505,ELECTROMETA,100% OPERADOR,304.3811,88.5039,57.1224,56.7575,262.4731,41.1439,802.9389,810.3569,815.5109,61.07,749.3119
0,557.9192,557.9192,3,202505,ELECTROMETA,N/A,304.3811,55.7139,20.1922,56.7575,79.7306,41.1439,551.1322,557.8964,562.5962,28.28,529.6392
0,818.2836,818.2836,1,202505,ENERTOLIMA,100% USUARIO,305.3583,133.4634,79.5345,56.7575,202.026,41.1439,810.4995,818.2574,823.6477,105.37,712.9136
0,740.6288,740.6288,1,202505,CODENSA-EEC,100% USUARIO,305.1741,30.4537,61.3611,56.7575,245.7385,41.1439,733.1142,740.6035,745.8071,0,740.6288
0,793.9014,793.9014,1,202505,CODENSA-EEC,100% OPERADOR,305.1741,30.4537,61.3611,56.7575,299.0111,41.1439,786.3868,793.8761,799.0797,0,793.9014
0,767.2651,767.2651,1,202505,CODENSA-EEC,50% OPERADOR,305.1741,30.4537,61.3611,56.7575,272.3748,41.1439,759.7505,767.2398,772.4434,0,767.2651
0,613.7828,613.7828,3,202505,CODENSA-EEC,N/A,305.1741,63.2437,20.1147,56.7575,127.3489,41.1439,606.9991,613.76,618.4574,32.79,580.9928
0,680.5084,680.5084,2,202505,CODENSA-EEC,N/A,305.1741,68.3437,20.7386,56.7575,188.3506,41.1439,673.7137,680.4856,685.1907,37.89,642.6184
0,690.0523,690.0523,1,202505,CARIBESOL,100% OPERADOR,304.5854,65.8277,92.7516,56.7575,128.9862,41.1439,682.2265,690.0261,695.4452,14.26,675.7923
0,666.9204,666.9204,1,202505,CARIBESOL,100% USUARIO,304.5854,65.8277,92.7516,56.7575,105.8543,41.1439,659.0946,666.8942,672.3133,14.26,652.6604
0,678.4864,678.4864,1,202505,CARIBESOL,50% OPERADOR,304.5854,65.8277,92.7516,56.7575,117.4203,41.1439,670.6606,678.4602,683.8793,14.26,664.2264
0,581.6028,581.6028,2,202505,CARIBESOL,N/A,304.5854,51.5677,41.2606,56.7575,86.2877,41.1439,574.6903,581.5796,586.3663,0,581.6028
0,554.2936,554.2936,3,202505,CARIBESOL,N/A,304.5854,51.5677,37.6159,56.7575,62.6232,41.1439,547.4458,554.2706,559.0125,0,554.2936
0,871.3014,871.3014,1,202505,CARIBEMAR,100% OPERADOR,304.5855,136.4435,127.564,56.7575,204.807,41.1439,862.6378,871.2723,877.2716,85.85,785.4514
0,835.4156,835.4156,1,202505,CARIBEMAR,100% USUARIO,304.5855,136.4435,127.564,56.7575,168.9212,41.1439,826.752,835.3865,841.3858,85.85,749.5656
0,853.3585,853.3585,1,202505,CARIBEMAR,50% OPERADOR,304.5855,136.4435,127.564,56.7575,186.8641,41.1439,844.6949,853.3294,859.3287,85.85,767.5085
0,682.3182,682.3182,2,202505,CARIBEMAR,N/A,304.5855,109.6835,38.434,56.7575,131.7138,41.1439,675.2325,682.2944,687.201,59.09,623.2282
0,580.8698,580.8698,3,202505,CARIBEMAR,N/A,304.5855,50.5935,27.9718,56.7575,99.8176,41.1439,573.9699,580.8466,585.6246,0,580.8698
0,915.2687,915.2687,1,202505,ENERTOLIMA,100% OPERADOR,305.3583,133.4634,79.5345,56.7575,299.0111,41.1439,907.4846,915.2425,920.6328,105.37,809.8987
0,866.7762,866.7762,1,202505,ENERTOLIMA,50% OPERADOR,305.3583,133.4634,79.5345,56.7575,250.5186,41.1439,858.9921,866.75,872.1403,105.37,761.4062
0,655.6239,655.6239,2,202505,ENERTOLIMA,N/A,305.3583,28.0934,35.9202,56.7575,188.3506,41.1439,648.6116,655.6003,660.4561,0,655.6239
0,585.5989,585.5989,3,202505,ENERTOLIMA,N/A,305.3583,28.0934,26.8969,56.7575,127.3489,41.1439,578.7466,585.5759,590.3209,0,585.5989
0,739.0292,739.0292,1,202505,EBSA,100% USUARIO,305.0558,58.9142,67.4945,56.7575,209.6633,41.1439,731.3477,739.0034,744.3226,26.07,712.9592
0,828.377,828.377,1,202505,EBSA,100% OPERADOR,305.0558,58.9142,67.4945,56.7575,299.0111,41.1439,820.6955,828.3512,833.6704,26.07,802.307
0,783.7031,783.7031,1,202505,EBSA,50% OPERADOR,305.0558,58.9142,67.4945,56.7575,254.3372,41.1439,776.0216,783.6773,788.9965,26.07,757.6331
0,603.1519,603.1519,3,202505,EBSA,N/A,305.0558,56.7042,16.1416,56.7575,127.3489,41.1439,596.3805,603.1291,607.8181,23.86,579.2919
0,669.7476,669.7476,2,202505,EBSA,N/A,305.0558,59.4242,19.0156,56.7575,188.3506,41.1439,662.9252,669.7247,674.4489,26.58,643.1676
0,818.0052,818.0052,1,202505,EEP,100% OPERADOR,305.2955,31.0026,56.8604,56.7575,326.9453,41.1439,810.6223,817.9804,823.0928,0,818.0052
0,771.1734,771.1734,1,202505,EEP,100% USUARIO,305.2955,31.0026,56.8604,56.7575,280.1135,41.1439,763.7905,771.1486,776.261,0,771.1734
0,664.2111,664.2111,2,202505,EEP,N/A,305.2955,31.0026,23.7372,56.7575,206.2744,41.1439,657.4152,664.1883,668.8943,0,664.2111
0,794.5893,794.5893,1,202505,EEP,50% OPERADOR,305.2955,31.0026,56.8604,56.7575,303.5294,41.1439,787.2064,794.5645,799.6769,0,794.5893
0,545.875,545.875,3,202505,EEP,N/A,305.2955,31.0026,20.7876,56.7575,90.8879,41.1439,539.1314,545.8524,550.5221,0,545.875
0,734.8942,734.8942,1,202505,BAJO PUTUMAYO,100% OPERADOR,302.7536,27.0752,44.6909,56.7575,262.4731,41.1439,727.6407,734.8698,739.8926,0,734.8942
0,675.3956,675.3956,1,202505,BAJO PUTUMAYO,100% USUARIO,302.7536,27.0752,44.6909,56.7575,202.9745,41.1439,668.1421,675.3712,680.394,0,675.3956
0,705.1449,705.1449,1,202505,BAJO PUTUMAYO,50% OPERADOR,302.7536,27.0752,44.6909,56.7575,232.7238,41.1439,697.8914,705.1205,710.1433,0,705.1449
